pm_name,n_contributions,mean_vader_compound,mean_transformer_score,sentiment_sign_agreement,mean_hedge_rate,mean_booster_rate,mean_net_certainty
Boris Johnson,5459,0.5613999816816266,0.5342411008110892,0.7636929840630152,0.01133272918027517,0.01639180335888405,0.00505907417860888
Keir Starmer,2896,0.46519772099447515,0.4027700842826406,0.743439226519337,0.0072673704532096916,0.015808247855586256,0.008540877402376563
Liz Truss,123,0.6169934959349593,0.5394111038223515,0.7398373983739838,0.004625162806409632,0.02061882998651909,0.015993667180109458
Rishi Sunak,2195,0.5524877904328018,0.622194690367627,0.7890660592255125,0.006038404064009806,0.013737464267032594,0.007699060203022788
