dv,crisis,coef,se,pvalue,pvalue_bh,significant_bh
vader_compound,covid19,0.041010712552241306,0.02348607379752556,0.08078115672315533,0.484686940338932,False
vader_compound,mini_budget,-0.019076224431818285,3.0023123468588264,0.9949304000443924,0.9949304000443924,False
vader_compound,ukraine_invasion,0.004681380744526264,0.05760449848897281,0.9352291208206511,0.9949304000443924,False
vader_compound,labour_leadership_crisis,0.012400687368400345,0.04350033317532332,0.775589678763881,0.9949304000443924,False
transformer_score,covid19,0.07573141579039191,0.04142678567428096,0.06753777270998991,0.484686940338932,False
transformer_score,mini_budget,-0.31320694601445503,1.7542328570858392,0.858296129722286,0.9949304000443924,False
transformer_score,ukraine_invasion,0.052136054748888806,0.07841390814212389,0.5061254908323918,0.9949304000443924,False
transformer_score,labour_leadership_crisis,0.07410350556871816,0.08776138922023662,0.39845999896648776,0.9949304000443924,False
net_certainty,covid19,-0.0015510214299404405,0.001206913013419829,0.19875227063425216,0.7950090825370086,False
net_certainty,mini_budget,-0.012616977083002365,0.02387823820350438,0.5972299903608005,0.9949304000443924,False
net_certainty,ukraine_invasion,-0.0005423373415704603,0.002236067345882559,0.808361223261959,0.9949304000443924,False
net_certainty,labour_leadership_crisis,0.004180087968386493,0.005260647558897068,0.4268487161499265,0.9949304000443924,False
