pm_name,n_contributions,total_words,type_token_ratio,mtld,mean_flesch_kincaid_grade,mean_words_per_sentence,pmqs_share,top_bigrams,top_tfidf_terms
Boris Johnson,5459,520674,0.025974025974025976,76.79703291332233,9.423627179415513,19.69326944965183,0.4933137937351163,of the (3829); we are (2664); in the (2340); that we (2326); that is (2248); right hon (2240); hon friend (2192); we have (1988); it is (1929); to the (1889); we will (1740); the right (1674); i am (1617); that the (1582); my hon (1468),hon (0.485); right (0.325); people (0.268); country (0.256); friend (0.211); gentleman (0.175); think (0.155); house (0.150); government (0.141); way (0.110); support (0.109); uk (0.097); want (0.095); thank (0.093); say (0.086)
Keir Starmer,2896,284990,0.031155479139618934,77.74249826398184,8.956253089153517,18.078021019878854,0.6301795580110497,of the (1659); we are (1571); it is (1303); that is (1294); in the (1238); that we (1160); we have (1153); to the (883); hon friend (879); we will (872); my hon (841); i am (794); that the (754); the right (712); and i (696),hon (0.426); right (0.241); friend (0.178); house (0.169); important (0.167); government (0.160); thank (0.141); people (0.140); work (0.134); country (0.132); gentleman (0.109); years (0.104); support (0.103); security (0.102); issue (0.100)
Liz Truss,123,8842,0.16625197919022847,76.37809927999533,9.424828662961415,18.17230596508517,0.7886178861788617,we are (70); that we (60); we will (49); i am (48); right hon (43); hon friend (42); that is (39); sure that (39); make sure (35); we have (34); with the (34); of the (33); in the (30); to make (28); the right (27),energy (0.382); hon (0.336); people (0.290); right (0.277); sure (0.231); friend (0.185); make (0.181); need (0.134); support (0.118); country (0.113); way (0.113); new (0.109); gentleman (0.109); secretary (0.092); price (0.092)
Rishi Sunak,2195,222152,0.03638049623681083,87.36775042395186,10.738650841637131,20.937372748799426,0.6656036446469248,of the (1094); that is (1091); we are (1089); that we (1056); it is (1037); hon friend (1020); in the (966); we have (939); right hon (755); to the (731); my hon (712); that the (644); we will (633); the right (589); i am (583),hon (0.452); right (0.361); friend (0.242); people (0.223); support (0.158); gentleman (0.144); government (0.138); know (0.116); new (0.112); country (0.105); ensure (0.098); just (0.095); work (0.092); labour (0.089); said (0.089)
